Title,Genre,Premiere,Runtime,IMDB Score,Language
Gaga: Five Foot Two,Documentary,"September 22, 2017",100,7,3
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7,3
Kingdom of Us,Documentary,"October 13, 2017",109,7,3
"Lorena, Light-Footed Woman",Documentary,"November 20, 2019",28,7,3
Los Tigres del Norte at Folsom Prison,Documentary,"September 15, 2019",64,7,3
Ma Rainey's Black Bottom,Drama,"December 18, 2020",94,7,3
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,"December 18, 2020",31,7,3
Operation Varsity Blues: The College Admissions Scandal,Documentary,"March 17, 2021",99,7,3
Pele,Documentary,"February 23, 2021",108,7,3
ReMastered: Devil at the Crossroads,Documentary,"April 26, 2019",48,7,3
ReMastered: The Lion's Share,Documentary,"May 17, 2019",84,7,3
ReMastered: The Miami Showband Massacre,Documentary,"March 22, 2019",70,7,3
Resurface,Documentary,"September 1, 2017",27,7,3
Rocko's Modern Life: Static Cling,Animation / Comedy,"August 9, 2019",45,7,3
Rose Island,Comedy,"December 9, 2020",117,7,4
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,"November 22, 2018",104,7,4
The Dirt,Biopic,"March 22, 2019",108,7,4
The Night Comes for Us,Action-thriller,"October 19, 2018",121,7,4
13th: A Conversation with Oprah Winfrey & Ava DuVernay,Aftershow / Interview,"January 26, 2017",36,7.1,4
Angela's Christmas,Animation,"November 30, 2018",30,7.1,4
Angela's Christmas Wish,Animation,"December 1, 2020",47,7.1,4
Beats,Drama,"June 19, 2019",110,7.1,4
Circus of Books,Documentary,"April 22, 2020",92,7.1,4
Dance Dreams: Hot Chocolate Nutcracker,Documentary,"November 27, 2020",80,7.1,4
Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49,7.1,4
El Pepe: A Supreme Life,Documentary,"December 27, 2019",73,7.1,4
End Game,Documentary,"May 4, 2018",40,7.1,4
Evelyn,Documentary,"September 10, 2019",96,7.1,4
Ferry,Crime drama,"May 14, 2021",106,7.1,4
Grass Is Greener,Documentary,"April 20, 2019",97,7.1,4
Guillermo Vilas: Settling the Score,Documentary,"October 27, 2020",94,7.1,4
Joshua: Teenager vs. Superpower,Documentary,"May 26, 2017",78,7.1,4
Keith Richards: Under the Influence,Documentary,"September 18, 2015",81,7.1,4
Knock Down the House,Documentary,"May 1, 2019",87,7.1,4
Loudon Wainwright III: Surviving Twin,One-man show,"November 13, 2018",91,7.1,4
My Beautiful Broken Brain,Documentary,"March 18, 2016",91,7.1,4
One of Us,Documentary,"October 20, 2017",95,7.1,4
Pieces of a Woman,Drama,"January 7, 2021",126,7.1,4
"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,4
ReMastered: Tricky Dick & the Man in Black,Documentary,"November 2, 2018",58,7.1,4
Rooting for Roona,Documentary,"October 15, 2020",41,7.1,4
The Devil All the Time,Psychological thriller,"September 16, 2020",138,7.1,4
The Dig,Drama,"January 29, 2021",112,7.1,4
The Great Hack,Documentary,"July 24, 2019",114,7.1,4
The White Tiger,Drama,"January 22, 2021",125,7.1,4
To All the Boys I've Loved Before,Romantic comedy,"August 17, 2018",99,7.1,4
American Murder: The Family Next Door,Documentary,"September 30, 2020",82,7.2,4
Audrie & Daisy,Documentary,"September 23, 2016",98,7.2,4
First They Killed My Father,Drama,"September 15, 2017",136,7.2,4
Fyre: The Greatest Party That Never Happened,Documentary,"January 18, 2019",97,7.2,4
Into the Inferno,Documentary,"October 28, 2016",107,7.2,4
LA Originals,Documentary,"April 10, 2020",92,7.2,4
Ladies First,Documentary,"March 8, 2018",39,7.2,4
Love per Square Foot,Romantic comedy,"February 14, 2018",133,7.2,4
Paddleton,Drama-Comedy,"February 22, 2019",89,7.2,4
Private Life,Drama,"October 5, 2018",124,7.2,4
Seventeen,Coming-of-age comedy-drama,"October 18, 2019",99,7.2,4
Sometimes,Drama,"May 1, 2018",101,7.2,4
Soni,Crime drama,"January 18, 2019",97,7.2,4
The 40-Year-Old Version,Comedy,"October 9, 2020",124,7.2,4
The Disciple,Drama,"April 30, 2021",129,7.2,4
The Edge of Democracy,Documentary,"June 19, 2019",121,7.2,4
The King,Historical drama,"November 1, 2019",140,7.2,4
The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13,7.2,4
The Siege of Jadotville,War,"October 7, 2016",108,7.2,4
Zion ,Documentary,"August 10, 2018",11,7.2,4
Dolemite Is My Name,Biopic,"October 25, 2019",118,7.3,4
El Camino: A Breaking Bad Movie,Crime drama,"October 11, 2019",121,7.3,4
Extremis,Documentary,"September 13, 2016",24,7.3,4
Father Soldier Son,Documentary,"July 17, 2020",100,7.3,4
Get Me Roger Stone,Documentary,"May 12, 2017",101,7.3,4
I'm No Longer Here,Drama,"May 27, 2020",105,7.3,4
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,"July 8, 2020",96,7.3,4
Octonauts & the Great Barrier Reef,Animation,"October 13, 2020",47,7.3,4
Okja,Action-adventure,"June 28, 2017",121,7.3,4
On My Skin,Crime drama,"September 12, 2018",100,7.3,4
Raat Akeli Hai,Thriller,"July 31, 2020",149,7.3,4
ReMastered: Massacre at the Stadium,Documentary,"January 11, 2019",64,7.3,4
ReMastered: The Two Killings of Sam Cooke,Documentary,"February 8, 2019",64,7.3,4
Secrets of the Saqqara Tomb,Documentary,"October 28, 2020",114,7.3,4
Sitara: Let Girls Dream,Animation / Short,"March 8, 2020",15,7.3,4
Sky Ladder: The Art of Cai Guo-Qiang,Documentary,"October 14, 2016",79,7.3,4
Team Foxcatcher,Documentary,"April 29, 2016",90,7.3,4
The Ballad of Buster Scruggs,Western,"November 16, 2018",132,7.3,4
The Death and Life of Marsha P. Johnson,Documentary,"October 6, 2017",105,7.3,4
The Fundamentals of Caring,Comedy-drama,"June 24, 2016",97,7.3,4
The Other One: The Long Strange Trip of Bob Weir,Documentary,"May 22, 2015",83,7.3,4
American Factory,Documentary,"August 21, 2019",110,7.4,4
Fire in Paradise,Documentary,"November 1, 2019",39,7.4,4
Long Shot,Documentary,"September 29, 2017",40,7.4,4
Miss Americana,Documentary,"January 31, 2020",85,7.4,4
Period. End of Sentence.,Documentary,"February 12, 2019",26,7.4,4
Shawn Mendes: Live in Concert,Concert Film,"November 25, 2020",87,7.4,4
Shirkers,Documentary,"October 26, 2018",97,7.4,4
The Black Godfather,Documentary,"June 7, 2019",118,7.4,4
The Irishman: In Conversation,Aftershow / Interview,"November 27, 2019",23,7.4,4
The Speed Cubers,Documentary,"July 29, 2020",40,7.4,4
They'll Love Me When I'm Dead,Documentary,"November 2, 2018",98,7.4,4
Tig,Documentary,"July 17, 2015",80,7.4,4
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,"November 22, 2017",108,7.5,4
Blackpink: Light Up the Sky,Documentary,"October 14, 2020",79,7.5,4
City of Joy,Documentary,"September 7, 2018",74,7.5,4
Dick Johnson Is Dead,Documentary,"October 2, 2020",90,7.5,4
Homecoming: A Film by Beyonce ,Documentary,"April 17, 2019",137,7.5,4
Invader Zim: Enter the Florpus,Animation / Science Fiction,"August 16, 2019",71,7.5,4
Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,4
John Mulaney & the Sack Lunch Bunch,Variety show,"December 24, 2019",70,7.5,4
Reversing Roe,Documentary,"September 13, 2018",99,7.5,4
The White Helmets,Documentary,September 16. 2016,40,7.5,4
Athlete A,Documentary,"June 24, 2020",104,7.6,4
Ludo,Anthology/Dark comedy,"November 12, 2020",149,7.6,4
Quincy,Documentary,"September 21, 2018",124,7.6,4
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,"June 12, 2019",144,7.6,4
Tell Me Who I Am,Documentary,"October 18, 2019",85,7.6,4
The Bleeding Edge,Documentary,"July 27, 2018",100,7.6,4
The Social Dilemma,Documentary,"September 9, 2020",94,7.6,4
The Two Popes,Drama,"December 20, 2019",125,7.6,4
"What Happened, Miss Simone?",Documentary,"June 26, 2015",84,7.6,4
Yeh Ballet,Drama,"February 21, 2020",117,7.6,4
Anima,Musical / Short,"June 27, 2019",15,7.7,4
Beasts of No Nation,War drama,"October 16, 2015",136,7.7,4
Brene Brown: The Call to Courage,Documentary,"April 19, 2019",76,7.7,4
Crip Camp: A Disability Revolution,Documentary,"March 25, 2020",108,7.7,4
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,"November 17, 2017",94,7.7,2
Justin Timberlake + The Tennessee Kids,Concert Film,"October 12, 2016",90,7.7,2
Road to Roma,Making-of,"February 11, 2020",72,7.7,2
Roma,Drama,"December 14, 2018",135,7.7,2
If Anything Happens I Love You,Animation / Short,"November 20, 2020",12,7.8,2
The Irishman,Crime drama,"November 27, 2019",209,7.8,2
The Trial of the Chicago 7,Drama,"October 16, 2020",130,7.8,2
A Secret Love,Documentary,"April 29, 2020",82,7.9,2
Icarus,Documentary,"August 4, 2017",120,7.9,2
Marriage Story,Drama,"December 6, 2019",136,7.9,English
The Ivory Game,Documentary,"November 4, 2016",112,7.9,2
Struggle: The Life and Lost Art of Szukaiski,Documentary,"December 21, 2018",105,8,1
Chasing Coral ,Documentary,"July 14, 2017",89,8.1,1
My Octopus Teacher,Documentary,"September 7, 2020",85,8.1,1
Rising Phoenix,Documentary,"August 26, 2020",106,8.1,1
13th,Documentary,"October 7, 2016",100,8.2,1
Disclosure: Trans Lives on Screen,Documentary,"June 19, 2020",107,8.2,1
Klaus,Animation/Christmas/Comedy/Adventure,"November 15, 2019",97,8.2,1
Seaspiracy,Documentary,"March 24, 2021",89,8.2,1
The Three Deaths of Marisela Escobedo,Documentary,"October 14, 2020",109,8.2,1
Cuba and the Cameraman ,Documentary,"November 24, 2017",114,8.3,1
Dancing with the Birds,Documentary,"October 23, 2019",51,8.3,1
Ben Platt: Live from Radio City Music Hall,Concert Film,"May 20, 2020",85,8.4,1
Taylor Swift: Reputation Stadium Tour,Concert Film,"December 31, 2018",125,8.4,1
Winter on Fire: Ukraine's Fight for Freedom,Documentary,"October 9, 2015",91,8.4,1
Springsteen on Broadway,One-man show,"December 16, 2018",153,8.5,1
Emicida: AmarElo - It's All For Yesterday,Documentary,"December 8, 2020",89,8.6,1
David Attenborough: A Life on Our Planet,Documentary,"October 4, 2020",83,9,1
